"user_name";"screen_name";"user_location";"user_followers_count";"user_friends_count";"user_listed_count";"user_favorites_count";"user_statuses_count";"place";"retweet_count";"favorite_count";"lang";"timestamp";"text"
"Tom Franklin";"tommy2tone61";"Nevada";"15";"97";"0";"75";"672";"False";"0";"0";"en";"1506178211";"RT @worldnetdaily: Merkel is the greatest traitor to a people in the history of the world as more than 1.8 million non-Germans... https:\/\/t…"
"Janny Kompagne";"JKompagne";"Nederland";"1458";"1066";"23";"20175";"28180";"False";"0";"0";"en";"1506178211";"RT @hellotopeople1: Just 2days for #Germany #GermanyElection #GermanyPOLLS #AngelaMerkel #AfD #Nazi #Schulz Martin Schulz vs Merkel will or…"
"7N60 Communicatie";"7N60";"The Netherlands";"724";"1256";"29";"18";"2117";"False";"0";"0";"nl";"1506178211";"Als #Merkel zich over heikele kwesties uiteindelijk uitspreekt, neemt ze de tijd en is het hele land achteraf toch onder de indruk. #VK"
"Bisexuelles Journal";"BiJouJournal";"Germany";"325";"87";"7";"179";"394";"False";"0";"0";"de";"1506178213";"Siehe auch Wahlprüfsteine vom LSVD: https:\/\/t.co\/tnrR33Iqoi  Mehr Umfragen unter: https:\/\/t.co\/4yCgMIOqGB… https:\/\/t.co\/WsAllvTpYU"
"Christiann D";"ChristiannDahl2";"Deutschland";"810";"930";"3";"11063";"9985";"False";"0";"0";"de";"1506178214";"RT @maxotte_says: #Bundestagswahl @AfD Angela Merkel ist für mich nicht wählbar. Ich wähle diesmal AfD. Prof. Dr. Max Otte, CDU-Mitglied se…"
"Debbie M";"debster7301";"Wherever I'm at";"3599";"3226";"221";"2471";"60746";"False";"0";"0";"en";"1506178215";"RT @worldnetdaily: Merkel is the greatest traitor to a people in the history of the world as more than 1.8 million non-Germans... https:\/\/t…"
"里の緑";"minasemeisui";"本朝";"549";"2153";"7";"2775";"29934";"False";"0";"0";"ja";"1506178216";"RT @EuropeElect: ドイツ 連立についての情報を整理すると ・緑の党はCDU、FDPとの3党連立を否定 ・メルケルはLINKEやAfDとの連立を否定 ・世論調査では大連立続行が一番支持されている。二番目に支持されているはCDU+FDPの連立 ・CDUとFDPの2党…"
"Ellen Austin";"EllenAu69195476";"Alabama, USA";"221";"1002";"2";"10964";"12821";"False";"0";"0";"en";"1506178217";"RT @SkyNews: In the 12 years since she was first elected Angela Merkel has become the planet's most powerful woman - what is the… "
